account_key,status,join_date,cancel_date,days_to_cancel,is_udacity,is_canceled
0,current,2015-01-09,,,False,False
1,current,2015-05-06,,,False,False
2,current,2015-06-08,,,False,False
3,canceled,2014-11-10,2015-03-10,120,False,True
3,current,2015-03-10,,,False,False
4,current,2015-05-12,,,False,False
5,canceled,2015-01-07,2015-04-16,99,False,True
5,canceled,2015-01-07,2015-01-07,0,False,True
6,current,2015-06-05,,,False,False
7,current,2015-05-12,,,False,False
8,current,2015-05-06,,,False,False
9,current,2015-01-08,,,False,False
10,current,2014-11-10,,,False,False
11,current,2015-04-24,,,False,False
12,current,2014-11-10,,,False,False
13,current,2015-04-01,,,False,False
14,current,2015-06-03,,,False,False
15,canceled,2015-01-12,2015-01-17,5,False,True
15,canceled,2015-03-04,2015-08-11,160,False,True
16,current,2015-05-13,,,False,False
17,current,2015-05-11,,,False,False
18,canceled,2014-11-10,2015-02-17,99,False,True
19,canceled,2015-04-06,2015-07-13,98,False,True
20,current,2015-05-11,,,False,False
21,current,2015-07-17,,,False,False
22,current,2015-04-03,,,False,False
23,current,2014-11-10,,,False,False
24,canceled,2014-12-03,2015-06-10,189,False,True
25,current,2015-05-12,,,False,False
25,canceled,2014-11-11,2015-02-18,99,False,True
26,current,2015-02-11,,,False,False
27,current,2015-05-11,,,False,False
28,current,2015-01-12,,,False,False
29,current,2015-07-16,,,False,False
30,current,2015-02-10,,,False,False
31,current,2015-03-10,,,False,False
31,canceled,2014-11-10,2015-03-10,120,False,True
32,current,2015-01-08,,,False,False
33,current,2015-01-12,,,False,False
34,canceled,2015-01-08,2015-02-03,26,False,True
34,canceled,2014-11-16,2015-01-08,53,False,True
34,current,2015-02-03,,,False,False
35,current,2015-02-08,,,False,False
36,current,2015-05-13,,,False,False
37,current,2014-11-14,,,False,False
38,current,2014-11-14,,,False,False
39,current,2015-07-17,,,False,False
40,current,2015-07-15,,,False,False
41,current,2015-05-13,,,False,False
42,current,2015-05-30,,,False,False
42,canceled,2015-03-04,2015-05-11,68,False,True
43,canceled,2014-12-08,2015-03-30,112,False,True
44,canceled,2014-11-10,2015-03-10,120,False,True
44,current,2015-03-10,,,False,False
45,canceled,2014-11-10,2015-03-10,120,False,True
45,current,2015-03-10,,,False,False
46,current,2014-12-08,,,False,False
47,current,2015-07-16,,,False,False
48,current,2015-07-16,,,False,False
49,current,2015-04-24,,,False,False
50,current,2015-03-04,,,False,False
51,canceled,2014-11-10,2015-03-10,120,False,True
51,canceled,2015-03-10,2015-06-17,99,False,True
52,canceled,2014-12-07,2015-03-14,97,False,True
53,canceled,2014-11-14,2014-12-21,37,False,True
53,current,2015-05-11,,,False,False
54,current,2014-12-03,,,False,False
55,current,2015-05-29,,,False,False
56,current,2015-01-07,,,False,False
57,canceled,2014-11-11,2015-02-18,99,False,True
57,current,2015-05-06,,,False,False
58,current,2015-05-09,,,False,False
59,current,2015-01-10,,,False,False
60,canceled,2014-11-10,2015-01-14,65,False,True
60,canceled,2015-01-14,2015-04-01,77,False,True
60,current,2015-04-01,,,False,False
61,current,2015-05-12,,,False,False
62,canceled,2014-12-08,2015-07-15,219,False,True
63,current,2015-05-28,,,False,False
64,canceled,2014-12-06,2015-04-13,128,False,True
65,canceled,2014-11-16,2015-02-23,99,False,True
66,current,2015-01-07,,,False,False
67,canceled,2015-01-07,2015-03-14,66,False,True
68,current,2015-05-13,,,False,False
69,canceled,2015-03-10,2015-05-24,75,False,True
69,canceled,2014-11-17,2015-03-10,113,False,True
70,current,2015-02-09,,,False,False
71,canceled,2015-01-07,2015-01-13,6,False,True
71,canceled,2015-02-11,2015-02-18,7,False,True
71,current,2015-04-07,,,False,False
72,canceled,2014-11-10,2015-05-17,188,False,True
73,current,2015-05-28,,,False,False
74,canceled,2015-03-10,2015-04-01,22,False,True
74,canceled,2015-04-01,2015-04-23,22,False,True
74,canceled,2014-11-15,2015-03-10,115,False,True
75,current,2015-04-01,,,False,False
76,canceled,2014-11-14,2014-11-15,1,False,True
76,current,2015-01-15,,,False,False
76,canceled,2014-11-15,2015-01-15,61,False,True
77,current,2015-01-07,,,False,False
78,current,2015-04-01,,,False,False
78,canceled,2014-12-08,2015-04-01,114,False,True
79,canceled,2014-12-09,2015-07-16,219,False,True
80,current,2015-06-07,,,False,False
81,current,2014-11-10,,,False,False
82,current,2015-03-05,,,False,False
83,current,2015-06-06,,,False,False
84,current,2015-05-06,,,False,False
85,canceled,2014-11-11,2015-03-27,136,False,True
86,current,2015-04-02,,,False,False
87,current,2015-01-12,,,False,False
88,canceled,2014-11-15,2015-03-10,115,False,True
88,current,2015-04-01,,,False,False
88,canceled,2015-03-10,2015-04-01,22,False,True
89,current,2015-05-07,,,False,False
90,canceled,2014-11-10,2015-03-10,120,False,True
90,canceled,2015-03-10,2015-04-01,22,False,True
90,current,2015-04-01,,,False,False
91,canceled,2014-11-10,2015-03-10,120,False,True
91,current,2015-03-10,,,False,False
92,canceled,2014-11-12,2015-07-19,249,False,True
93,canceled,2015-01-07,2015-04-14,97,False,True
94,current,2015-04-24,,,False,False
96,current,2014-11-17,,,False,False
97,canceled,2015-02-05,2015-04-08,62,False,True
97,current,2015-04-08,,,False,False
98,canceled,2015-04-02,2015-07-09,98,False,True
99,canceled,2015-03-10,2015-08-20,163,False,True
99,canceled,2015-01-13,2015-03-10,56,False,True
100,current,2015-02-05,,,False,False
101,canceled,2014-11-12,2015-04-20,159,False,True
102,current,2014-11-10,,,False,False
103,current,2015-01-07,,,False,False
104,current,2015-04-10,,,False,False
105,canceled,2015-04-07,2015-05-14,37,False,True
106,current,2015-03-10,,,False,False
106,canceled,2014-11-11,2015-03-10,119,False,True
107,current,2015-04-24,,,False,False
108,canceled,2015-01-07,2015-04-20,103,False,True
108,canceled,2015-04-20,2015-05-14,24,False,True
109,current,2015-05-06,,,False,False
110,canceled,2014-12-03,2015-05-10,158,False,True
111,canceled,2014-12-07,2015-03-01,84,False,True
112,current,2015-05-08,,,False,False
113,canceled,2015-03-04,2015-07-11,129,False,True
114,canceled,2014-11-10,2014-11-11,1,False,True
114,current,2015-05-08,,,False,False
115,current,2015-01-11,,,False,False
116,current,2015-05-06,,,False,False
117,current,2015-04-08,,,False,False
118,current,2015-04-06,,,False,False
119,canceled,2015-02-03,2015-04-08,64,False,True
119,current,2015-04-08,,,False,False
119,canceled,2014-12-03,2015-02-03,62,False,True
120,current,2015-05-11,,,False,False
121,current,2015-06-07,,,False,False
122,current,2015-07-17,,,False,False
123,canceled,2014-11-10,2015-03-10,120,False,True
123,canceled,2015-03-10,2015-04-17,38,False,True
124,current,2015-05-31,,,False,False
125,current,2015-01-13,,,False,False
126,current,2014-11-14,,,False,False
127,current,2015-04-24,,,False,False
128,current,2015-06-08,,,False,False
129,current,2015-05-11,,,False,False
130,canceled,2014-11-10,2015-03-10,120,False,True
130,canceled,2015-03-10,2015-04-01,22,False,True
130,canceled,2015-04-01,2015-06-17,77,False,True
131,current,2014-11-14,,,False,False
132,canceled,2015-03-04,2015-06-11,99,False,True
133,current,2015-06-08,,,False,False
134,canceled,2015-02-05,2015-06-12,127,False,True
135,current,2014-11-14,,,False,False
136,canceled,2015-02-05,2015-04-08,62,False,True
136,current,2015-04-08,,,False,False
137,current,2014-12-06,,,False,False
138,canceled,2015-02-10,2015-04-08,57,False,True
138,current,2015-04-08,,,False,False
139,current,2015-03-06,,,False,False
140,current,2015-01-14,,,False,False
140,canceled,2014-11-10,2015-01-14,65,False,True
141,canceled,2015-03-07,2015-05-14,68,False,True
142,current,2015-08-19,,,False,False
142,canceled,2015-01-12,2015-08-03,203,False,True
143,canceled,2015-02-09,2015-06-16,127,False,True
144,canceled,2015-01-09,2015-01-10,1,False,True
144,current,2015-03-06,,,False,False
145,current,2014-11-10,,,False,False
146,current,2015-04-24,,,False,False
147,current,2015-02-03,,,False,False
147,canceled,2014-12-03,2015-02-03,62,False,True
148,canceled,2014-11-11,2015-03-10,119,False,True
148,canceled,2015-04-01,2015-04-18,17,False,True
148,canceled,2015-03-10,2015-04-01,22,False,True
149,current,2015-03-11,,,False,False
150,canceled,2014-11-10,2015-05-17,188,False,True
151,canceled,2015-01-11,2015-04-02,81,False,True
152,current,2014-11-17,,,False,False
153,canceled,2015-04-01,2015-07-14,104,False,True
153,canceled,2014-12-07,2015-04-01,115,False,True
154,current,2015-05-09,,,False,False
155,current,2014-11-14,,,False,False
156,current,2014-11-10,,,False,False
157,canceled,2014-11-10,2015-03-10,120,False,True
157,canceled,2015-03-10,2015-07-17,129,False,True
158,current,2015-04-04,,,False,False
159,canceled,2015-02-05,2015-02-12,7,False,True
159,canceled,2014-12-09,2015-02-03,56,False,True
159,current,2015-02-12,,,False,False
160,canceled,2014-11-11,2015-02-18,99,False,True
161,canceled,2014-11-12,2015-05-19,188,False,True
162,current,2015-05-11,,,False,False
163,current,2015-07-09,,,False,False
164,current,2015-07-16,,,False,False
165,canceled,2014-11-10,2015-03-17,127,False,True
166,current,2014-12-08,,,False,False
167,current,2015-04-24,,,False,False
168,canceled,2015-01-12,2015-01-19,7,False,True
168,canceled,2015-02-05,2015-04-08,62,False,True
168,current,2015-04-08,,,False,False
169,canceled,2014-12-09,2014-12-14,5,False,True
169,canceled,2015-02-05,2015-08-12,188,False,True
170,canceled,2015-01-09,2015-08-16,219,False,True
171,canceled,2015-03-08,2015-06-15,99,False,True
172,current,2015-03-10,,,False,False
173,current,2015-05-07,,,False,False
174,canceled,2014-12-03,2015-03-10,97,False,True
175,current,2015-05-09,,,False,False
176,current,2015-07-08,,,False,False
177,current,2015-04-10,,,False,False
178,canceled,2014-11-17,2015-05-09,173,False,True
179,canceled,2014-11-10,2015-03-17,127,False,True
180,canceled,2015-01-12,2015-03-10,57,False,True
180,current,2015-04-08,,,False,False
180,canceled,2015-03-10,2015-04-08,29,False,True
181,canceled,2014-11-13,2015-03-10,117,False,True
181,current,2015-03-10,,,False,False
182,current,2015-05-08,,,False,False
183,current,2015-04-01,,,False,False
184,current,2015-05-12,,,False,False
185,canceled,2014-11-12,2015-03-10,118,False,True
185,canceled,2015-03-10,2015-04-01,22,False,True
185,current,2015-04-01,,,False,False
186,current,2014-11-14,,,False,False
187,canceled,2014-11-12,2015-04-19,158,False,True
188,current,2014-11-16,,,False,False
189,current,2015-05-12,,,False,False
190,canceled,2015-02-11,2015-04-08,56,False,True
190,current,2015-04-08,,,False,False
191,canceled,2014-11-16,2015-03-10,114,False,True
191,current,2015-03-10,,,False,False
192,current,2015-05-09,,,False,False
193,canceled,2014-12-08,2015-04-01,114,False,True
193,current,2015-04-01,,,False,False
194,current,2014-11-10,,,False,False
195,current,2014-11-10,,,False,False
196,current,2015-06-03,,,False,False
197,canceled,2015-01-07,2015-06-14,158,False,True
198,current,2014-11-10,,,False,False
199,current,2015-05-30,,,False,False
200,current,2015-05-12,,,False,False
201,current,2015-04-24,,,False,False
202,current,2014-12-03,,,False,False
203,canceled,2014-11-15,2014-11-21,6,False,True
203,canceled,2015-05-12,2015-07-19,68,False,True
204,current,2014-11-10,,,False,False
205,current,2015-04-01,,,False,False
206,current,2014-11-10,,,False,False
207,current,2015-01-07,,,False,False
208,canceled,2015-03-08,2015-06-15,99,False,True
209,current,2014-12-05,,,False,False
210,current,2015-03-11,,,False,False
211,current,2015-05-06,,,False,False
212,current,2015-04-24,,,False,False
213,current,2015-07-14,,,False,False
214,current,2015-01-12,,,False,False
215,current,2014-11-14,,,False,False
216,current,2015-06-02,,,False,False
217,canceled,2014-11-14,2014-11-15,1,False,True
217,canceled,2014-11-15,2015-03-10,115,False,True
217,current,2015-03-10,,,False,False
218,current,2015-07-08,,,False,False
219,current,2015-06-06,,,False,False
220,current,2015-05-29,,,False,False
220,canceled,2015-04-07,2015-05-29,52,False,True
221,canceled,2014-12-03,2015-02-10,69,False,True
222,current,2014-11-17,,,False,False
223,current,2014-11-10,,,False,False
224,current,2014-11-10,,,False,False
225,current,2014-11-10,,,False,False
226,current,2015-06-08,,,False,False
227,canceled,2014-11-12,2014-12-19,37,False,True
227,current,2015-04-08,,,False,False
228,current,2015-05-07,,,False,False
229,canceled,2015-01-07,2015-06-14,158,False,True
230,current,2014-11-10,,,False,False
231,current,2014-11-14,,,False,False
232,current,2015-01-08,,,False,False
233,current,2015-03-06,,,False,False
234,current,2014-11-11,,,False,False
235,current,2015-05-11,,,False,False
236,current,2015-05-10,,,False,False
237,current,2015-05-10,,,False,False
238,current,2015-07-13,,,False,False
239,current,2015-03-04,,,False,False
240,current,2015-04-24,,,False,False
241,current,2014-12-08,,,False,False
242,current,2015-05-11,,,False,False
243,canceled,2015-04-09,2015-04-15,6,False,True
243,canceled,2014-11-16,2015-01-23,68,False,True
244,current,2014-12-04,,,False,False
245,current,2014-11-14,,,False,False
246,current,2015-04-01,,,False,False
248,current,2015-06-09,,,False,False
249,current,2015-05-12,,,False,False
250,current,2015-01-12,,,False,False
251,canceled,2015-02-06,2015-04-08,61,False,True
251,current,2015-04-08,,,False,False
252,current,2015-05-12,,,False,False
253,canceled,2014-11-16,2015-01-14,59,False,True
253,current,2015-01-14,,,False,False
254,current,2014-11-14,,,False,False
255,current,2015-05-06,,,False,False
256,canceled,2014-12-03,2015-04-01,119,False,True
256,canceled,2015-04-01,2015-06-10,70,False,True
257,current,2014-11-15,,,False,False
258,canceled,2014-11-10,2015-07-17,249,False,True
259,canceled,2015-03-05,2015-03-12,7,False,True
259,canceled,2015-04-07,2015-07-14,98,False,True
260,current,2015-05-11,,,False,False
261,canceled,2014-11-16,2015-02-23,99,False,True
262,current,2015-04-24,,,False,False
263,canceled,2015-01-10,2015-04-17,97,False,True
263,current,2015-08-12,,,False,False
263,canceled,2015-06-01,2015-07-08,37,False,True
264,canceled,2014-12-03,2015-02-03,62,False,True
264,canceled,2015-02-03,2015-02-25,22,False,True
265,canceled,2014-12-04,2015-01-11,38,False,True
266,current,2015-06-06,,,False,False
267,current,2015-04-24,,,False,False
268,canceled,2014-11-10,2014-12-17,37,False,True
268,canceled,2015-04-03,2015-08-10,129,False,True
269,current,2015-04-02,,,False,False
270,canceled,2015-01-09,2015-05-31,142,False,True
271,current,2015-07-08,,,False,False
272,canceled,2015-01-08,2015-05-15,127,False,True
273,current,2014-11-14,,,False,False
274,current,2015-05-06,,,False,False
275,canceled,2014-11-12,2014-11-16,4,False,True
275,current,2014-11-16,,,False,False
276,current,2015-05-10,,,False,False
277,current,2014-11-15,,,False,False
278,current,2014-12-04,,,False,False
279,canceled,2015-02-05,2015-04-08,62,False,True
279,current,2015-04-08,,,False,False
280,current,2014-11-15,,,False,False
281,current,2014-11-14,,,False,False
282,current,2014-11-14,,,False,False
283,current,2014-11-15,,,False,False
283,canceled,2014-11-13,2014-11-15,2,False,True
284,canceled,2015-02-09,2015-04-08,58,False,True
284,current,2015-04-08,,,False,False
285,canceled,2015-01-07,2015-03-10,62,False,True
285,current,2015-03-10,,,False,False
286,current,2015-07-08,,,False,False
287,current,2015-05-11,,,False,False
288,current,2014-12-03,,,False,False
289,canceled,2015-04-07,2015-07-14,98,False,True
290,current,2015-05-30,,,False,False
291,current,2015-04-02,,,False,False
292,current,2014-12-05,,,False,False
293,canceled,2015-05-10,2015-08-17,99,False,True
294,current,2015-06-04,,,False,False
295,canceled,2014-12-07,2014-12-07,0,False,True
295,current,2015-04-03,,,False,False
296,current,2015-06-08,,,False,False
297,current,2015-01-12,,,False,False
298,current,2015-05-08,,,False,False
299,current,2015-04-24,,,False,False
300,current,2014-12-03,,,False,False
301,current,2014-11-10,,,False,False
302,current,2015-04-24,,,False,False
303,current,2015-05-11,,,False,False
304,current,2015-05-10,,,False,False
305,current,2015-03-10,,,False,False
306,canceled,2015-02-08,2015-04-08,59,False,True
306,current,2015-04-08,,,False,False
307,current,2015-02-10,,,False,False
308,current,2014-11-16,,,False,False
309,current,2014-11-10,,,False,False
310,current,2015-04-06,,,False,False
311,current,2014-11-16,,,False,False
312,canceled,2014-11-10,2015-03-10,120,True,True
312,canceled,2015-03-10,2015-04-01,22,True,True
312,canceled,2015-04-01,2015-07-02,92,True,True
312,current,2015-07-08,,,True,False
313,current,2015-02-05,,,False,False
314,current,2015-05-11,,,False,False
315,canceled,2014-11-10,2015-05-17,188,False,True
316,canceled,2014-12-06,2015-06-13,189,False,True
317,current,2015-07-09,,,False,False
318,current,2015-06-05,,,False,False
319,current,2014-12-30,,,False,False
320,current,2015-05-07,,,False,False
321,canceled,2015-03-10,2015-07-07,119,False,True
321,current,2015-07-09,,,False,False
321,canceled,2014-11-15,2015-03-10,115,False,True
322,canceled,2014-11-10,2015-02-02,84,False,True
322,canceled,2015-02-12,2015-02-12,0,False,True
322,canceled,2015-02-12,2015-03-10,26,False,True
322,current,2015-03-10,,,False,False
323,canceled,2014-11-10,2015-04-17,158,False,True
324,current,2015-07-09,,,False,False
325,current,2015-07-19,,,False,False
326,current,2015-07-09,,,False,False
327,current,2014-11-14,,,False,False
328,current,2014-11-10,,,False,False
329,canceled,2014-11-10,2015-01-14,65,False,True
329,canceled,2015-03-10,2015-04-08,29,False,True
329,current,2015-04-08,,,False,False
329,canceled,2015-01-14,2015-02-03,20,False,True
329,canceled,2015-02-03,2015-03-10,35,False,True
330,current,2015-05-10,,,False,False
331,current,2015-05-11,,,False,False
332,current,2015-08-11,,,False,False
333,current,2015-04-01,,,False,False
334,canceled,2014-11-16,2015-03-10,114,False,True
334,current,2015-03-10,,,False,False
335,canceled,2014-11-12,2015-05-19,188,False,True
336,current,2014-11-10,,,False,False
337,current,2015-02-10,,,False,False
338,canceled,2014-11-15,2015-01-14,60,False,True
338,canceled,2015-01-14,2015-02-03,20,False,True
338,canceled,2015-02-03,2015-02-22,19,False,True
338,current,2015-05-11,,,False,False
339,canceled,2014-11-10,2015-03-10,120,False,True
339,canceled,2015-04-01,2015-06-17,77,False,True
339,canceled,2015-03-10,2015-04-01,22,False,True
340,current,2015-04-01,,,False,False
341,current,2015-05-10,,,False,False
342,current,2014-12-05,,,False,False
343,canceled,2014-12-07,2015-03-14,97,False,True
344,current,2015-01-11,,,False,False
345,current,2015-01-07,,,False,False
346,current,2014-12-08,,,False,False
346,canceled,2014-12-05,2014-12-05,0,False,True
347,canceled,2014-12-07,2015-03-14,97,False,True
347,current,2015-04-05,,,False,False
348,current,2015-03-05,,,False,False
348,canceled,2015-02-05,2015-02-27,22,False,True
349,current,2015-04-03,,,False,False
350,current,2015-01-07,,,False,False
351,current,2015-03-08,,,False,False
352,current,2015-02-05,,,False,False
353,current,2015-04-24,,,False,False
354,current,2014-11-10,,,False,False
355,current,2015-07-17,,,False,False
356,current,2015-01-09,,,False,False
357,current,2015-01-11,,,False,False
358,current,2014-12-05,,,False,False
359,current,2015-07-15,,,False,False
360,current,2015-05-06,,,False,False
361,canceled,2015-05-13,2015-06-20,38,False,True
362,canceled,2015-01-09,2015-02-05,27,False,True
362,canceled,2015-02-05,2015-04-16,70,False,True
363,current,2015-04-02,,,False,False
364,current,2014-12-05,,,False,False
365,current,2015-05-13,,,False,False
366,canceled,2014-11-10,2015-03-10,120,False,True
366,canceled,2015-04-01,2015-04-17,16,False,True
366,canceled,2015-03-10,2015-04-01,22,False,True
367,canceled,2014-11-11,2015-04-02,142,False,True
368,current,2014-11-10,,,False,False
369,current,2014-11-10,,,False,False
370,current,2015-04-24,,,False,False
371,current,2015-01-13,,,False,False
372,current,2015-03-06,,,False,False
373,current,2015-01-12,,,False,False
374,current,2015-02-06,,,False,False
375,current,2015-03-09,,,False,False
376,current,2015-05-05,,,False,False
377,current,2014-12-05,,,False,False
378,canceled,2014-11-10,2015-03-10,120,False,True
378,canceled,2015-03-10,2015-04-17,38,False,True
379,current,2015-04-07,,,False,False
379,canceled,2015-01-12,2015-01-12,0,False,True
380,current,2014-12-08,,,False,False
381,current,2015-02-09,,,False,False
382,current,2015-05-06,,,False,False
383,current,2015-01-07,,,False,False
384,current,2015-06-08,,,False,False
385,current,2015-05-08,,,False,False
386,canceled,2015-02-06,2015-04-08,61,False,True
386,canceled,2015-04-08,2015-06-13,66,False,True
386,canceled,2015-01-13,2015-01-17,4,False,True
387,current,2015-04-24,,,False,False
388,current,2015-02-03,,,False,False
388,canceled,2014-12-08,2015-02-03,57,False,True
389,current,2014-11-15,,,False,False
389,canceled,2014-11-14,2014-11-15,1,False,True
390,current,2014-11-10,,,False,False
391,current,2015-02-10,,,False,False
392,current,2015-04-02,,,False,False
393,current,2015-07-18,,,False,False
394,canceled,2014-11-10,2015-04-17,158,False,True
395,current,2015-04-08,,,False,False
396,current,2015-04-24,,,False,False
397,canceled,2014-12-04,2015-04-01,118,False,True
397,current,2015-04-01,,,False,False
398,current,2015-05-11,,,False,False
399,current,2015-05-12,,,False,False
400,current,2015-04-01,,,False,False
401,current,2015-04-24,,,False,False
402,canceled,2015-01-12,2015-03-10,57,False,True
402,current,2015-03-10,,,False,False
403,current,2015-07-16,,,False,False
404,canceled,2015-04-07,2015-04-08,1,False,True
404,canceled,2015-04-08,2015-08-17,131,False,True
405,current,2015-06-04,,,False,False
405,canceled,2015-06-03,2015-06-04,1,False,True
406,current,2015-05-10,,,False,False
407,canceled,2015-05-06,2015-08-13,99,False,True
408,canceled,2014-11-10,2015-03-10,120,False,True
408,canceled,2015-03-10,2015-04-01,22,False,True
408,canceled,2015-04-01,2015-04-17,16,False,True
409,current,2015-03-06,,,False,False
410,canceled,2015-05-12,2015-08-19,99,False,True
411,canceled,2014-12-08,2015-02-03,57,False,True
411,canceled,2015-03-10,2015-04-08,29,False,True
411,canceled,2015-02-03,2015-03-10,35,False,True
411,canceled,2015-04-08,2015-06-15,68,False,True
412,canceled,2014-11-10,2015-03-10,120,False,True
412,current,2015-04-01,,,False,False
412,canceled,2015-03-10,2015-04-01,22,False,True
413,canceled,2015-02-06,2015-05-13,96,False,True
414,current,2015-06-07,,,False,False
415,canceled,2014-11-16,2015-03-10,114,False,True
415,current,2015-03-10,,,False,False
416,canceled,2015-02-11,2015-02-16,5,False,True
416,canceled,2015-04-08,2015-07-15,98,False,True
417,current,2015-08-12,,,False,False
418,canceled,2015-01-11,2015-07-18,188,False,True
419,canceled,2015-03-10,2015-08-08,151,False,True
419,canceled,2014-11-17,2015-03-10,113,False,True
420,current,2014-11-10,,,False,False
421,current,2015-01-08,,,False,False
422,current,2015-05-08,,,False,False
423,canceled,2015-02-09,2015-04-08,58,False,True
423,current,2015-04-08,,,False,False
424,current,2015-04-06,,,False,False
425,current,2015-04-05,,,False,False
426,canceled,2015-04-01,2015-04-02,1,False,True
426,canceled,2015-05-07,2015-08-14,99,False,True
427,canceled,2015-01-09,2015-06-16,158,False,True
428,current,2014-11-10,,,False,False
429,canceled,2014-11-10,2015-03-10,120,False,True
429,canceled,2015-03-10,2015-06-17,99,False,True
430,current,2015-07-10,,,False,False
431,canceled,2014-11-10,2015-03-17,127,False,True
432,current,2015-03-09,,,False,False
433,current,2015-04-08,,,False,False
434,canceled,2015-01-12,2015-06-03,142,False,True
435,current,2015-02-06,,,False,False
436,current,2015-02-08,,,False,False
437,current,2015-04-02,,,False,False
438,current,2015-07-17,,,False,False
439,canceled,2014-11-10,2015-03-10,120,False,True
439,current,2015-03-10,,,False,False
440,canceled,2014-11-11,2015-02-18,99,False,True
441,canceled,2014-11-12,2015-06-19,219,False,True
442,canceled,2015-01-07,2015-03-10,62,False,True
442,current,2015-03-10,,,False,False
442,canceled,2015-03-15,2015-04-27,43,False,True
442,current,2015-05-14,,,False,False
443,current,2014-11-10,,,False,False
444,canceled,2015-02-05,2015-04-08,62,False,True
444,current,2015-04-08,,,False,False
444,canceled,2014-12-04,2014-12-06,2,False,True
